58B - HOT SPOT OFFENDER FOCUS,632,398,0.1%,632,
21R - RES PANIC  ALARM,579,262,0.1%,548,
15A - ASSIST OFFICER W/AMB,570,327,0.0%,517,
39 - SPEEDING/RACING,557,278,0.0%,524,
70 - ETS ACTIVATION,553,414,0.0%,134,
41/31 - CRIM MIS/PROGRESS/FELO,470,266,0.0%,405,
58C - COMMUNITY ENGAGEMENT,469,130,0.0%,489,
7CE - CITY EQUIPMENT ACCIDENT,415,128,0.0%,309,
AC - ANIMAL CRUELTY,400,191,0.0%,401,
12 - BURGLAR ALARM UNKNOWN,341,184,0.0%,343,
17 - KIDNAPPING IN PROGRESS,330,210,0.0%,275,
42FP - FOOT PURSUIT,323,222,0.0%,209,
58A - HOT SPOT HIGH VISIBILITY,280,113,0.0%,276,
18 - STRUCTURE FIRE,271,147,0.0%,190,
44 - PERSON IN DANGER HIGH WTR,269,153,0.0%,200,
06 - MINOR DISTURBANCE,245,109,0.0%,203,
AC/01 - ANIMAL CRUELTY IN PROG,229,139,0.0%,229,
11C - BURG COIN OPER,226,53,0.0%,113,
6M - LOUD MUSIC DISTURBANCE,206,118,0.0%,156,
PSE/58CL - COP LOGIC,192,0,0.0%,193,
12 - BURGLAR ALARM UKNOWN,178,97,0.0%,38,
7XCE - MAJOR ACC CITY EQUIP,174,54,0.0%,154,
PSE/11C -  BURG COIN OP,146,3,0.0%,110,
30D - PRISONER OTHER AGENCY,137,106,0.0%,89,
18A - VEHICLE FIRE,136,59,0.0%,116,
DH - DRUG HOUSE,133,87,0.0%,109,
11C/01 - BURG COIN OPER,83,37,0.0%,57,
26/01- MISSING PERSON-CRITICAL,77,45,0.0%,59,
46RC - CIT RIGHT CARE,77,23,0.0%,77,
7XFCE - MAJOR ACC FWY CITY EQ,75,20,0.0%,69,
26 - MISSING PERSON,74,24,0.0%,58,
6S - SCHOOL DIST (VIOLENCE),57,33,0.0%,43,
6F - FIRE WORKS DISTURBANCE,48,28,0.0%,40,
PSE/11R - BURG OF RES,45,2,0.0%,43,
42 - CHASE,35,23,0.0%,30,
PSE/11B - BURG OF BUS,35,0,0.0%,35,
58D - ENCAMPMENT SERVICES,32,12,0.0%,32,
SIP - SLEEPING IN PUBLIC,30,15,0.0%,28,
PSE/26 - MISSING PERSON,26,0,0.0%,25,
TOW - TOWREPO,16,5,0.0%,13,
28 - OPEN CARRY,13,11,0.0%,13,
6X/01 WOMEN'S SHELTER DIST,8,4,0.0%,8,
58RCO - RIGHT CARE OUTREACH,7,2,0.0%,7,
12N - BURGLAR ALARM NONDISP,6,5,0.0%,4,
58RCF - RIGHT CARE FOLLOW-UP,5,0,0.0%,5,
68 - VERIFIED RESPONSE ALARM,3,1,0.0%,0,
62 - PUBLIC SERVICE,2,0,0.0%,2,
35 - TERRORIST INCIDENT,1,1,0.0%,1,
54 - ESCORT/PROTECTION DETAIL,1,1,0.0%,1,
6X/01 A.W.A.R.E. ALARM,1,1,0.0%,0,
,"2,729",1405,0.2%,"91,748",
